employeeNumber,date,timeIn,timeOut
10001,2024-06-03,08:00,17:00
10001,2024-06-04,08:00,17:00
10001,2024-06-05,08:00,17:00
10001,2024-06-06,08:00,17:00
10001,2024-06-07,08:00,17:00
10001,2024-06-10,08:00,17:00
10001,2024-06-11,08:00,17:00
10001,2024-06-12,08:00,17:00
10001,2024-06-13,08:00,17:00
10001,2024-06-14,08:00,17:00
10002,2024-06-03,08:00,17:00
10002,2024-06-04,08:00,17:00
10002,2024-06-05,08:00,17:00
10002,2024-06-06,08:00,17:00
10002,2024-06-07,08:00,17:00
10002,2024-06-10,08:00,17:00
10002,2024-06-11,08:00,17:00
10002,2024-06-12,08:00,17:00
10002,2024-06-13,08:00,17:00
10002,2024-06-14,08:00,17:00
10003,2024-06-03,08:00,17:00
10003,2024-06-04,08:00,17:00
10003,2024-06-05,08:00,17:00
10003,2024-06-06,08:00,17:00
10003,2024-06-07,08:00,17:00
10003,2024-06-10,08:00,17:00
10003,2024-06-11,08:00,17:00
10003,2024-06-12,08:00,17:00
10003,2024-06-13,08:00,17:00
10003,2024-06-14,08:00,17:00
10004,2024-06-03,08:00,17:00
10004,2024-06-04,08:00,17:00
10004,2024-06-05,08:00,17:00
10004,2024-06-06,08:00,17:00
10004,2024-06-07,08:00,17:00
10004,2024-06-10,08:00,17:00
10004,2024-06-11,08:00,17:00
10004,2024-06-12,08:00,17:00
10004,2024-06-13,08:00,17:00
10004,2024-06-14,08:00,17:00
10005,2024-06-03,08:00,17:00
10005,2024-06-04,08:00,17:00
10005,2024-06-05,08:00,17:00
10005,2024-06-06,08:00,17:00
10005,2024-06-07,08:00,17:00
10005,2024-06-10,08:00,17:00
10005,2024-06-11,08:00,17:00
10005,2024-06-12,08:00,17:00
10005,2024-06-13,08:00,17:00
10005,2024-06-14,08:00,17:00
10006,2024-06-03,08:00,17:00
10006,2024-06-04,08:00,17:00
10006,2024-06-05,08:00,17:00
10006,2024-06-06,08:00,17:00
10006,2024-06-07,08:00,17:00
10006,2024-06-10,08:00,17:00
